resource_id,hour,cpu_utilization,cpuutilization,db_cpu_utilization,idlecpu,invocations,lambdainvocations,network_in,networkin,networkout
arn:aws:lambda:us-east-1:457563661765:function:hackathon-loop-function,2026-03-28 07:00:00+00:00,,53.706822469497176,,2.0,,50.0,,43.007751937984494,63.33913043478261
i-0f5e312cdb1ea9b00,2026-03-28 05:20:00+00:00,,53.706822469497176,,2.0,,50.0,,43.007751937984494,63.33913043478261
i-0f5e312cdb1ea9b00,2026-03-28 05:25:00+00:00,,0.0,,2.0,,50.0,,13.953488372093023,15.65217391304348
i-0f5e312cdb1ea9b00,2026-03-28 05:30:00+00:00,,65.97986771853233,,2.0,,50.0,,2.558139534883721,5.373913043478261
i-0f5e312cdb1ea9b00,2026-03-28 05:45:00+00:00,,75.20700729862659,,2.0,,50.0,,2.5193798449612403,2.8260869565217397
i-0f5e312cdb1ea9b00,2026-03-28 06:00:00+00:00,,100.0,,2.0,,50.0,,75.87209302325581,75.97826086956522
i-0f5e312cdb1ea9b00,2026-03-28 06:35:00+00:00,,36.990012624304484,,2.0,,50.0,,7.325581395348838,6.782608695652175
i-0f5e312cdb1ea9b00,2026-03-28 06:50:00+00:00,,44.26612609251047,,2.0,,50.0,,0.0,0.0
i-0f5e312cdb1ea9b00,2026-03-28 07:00:00+00:00,,44.26612609251047,,2.0,,50.0,,0.0,0.0
i-0f5e312cdb1ea9b00,2026-03-28 07:30:00+00:00,,44.26612609251047,,2.0,,50.0,,0.0,0.0
